10, 0.216568 0.390525 -0.874695 -0.704755 -0.623713 -0.027854 -0.054571 -0.109949 -0.121557 -0.001369 -0.007491 -0.024566 -0.040679 -0.037727 0.027501 -0.004481 0.007512 0.03904 0.024756 0.011051 -0.040166 0.048929 -0.01951 -0.010131 -0.016763 -0.042918 0.025801 -0.022931 -0.055286 -0.036441 -0.037573 -0.166839 -0.468293 0.209857 -0.098294 -0.525325 -0.448658 2.782655 -0.41726 -0.516824 -0.426081 -0.448914 2.66877 -0.657769 -0.582452 -0.606929 -0.632248 -0.649043 -0.489006 0.764115 -0.471661 -0.69236 -0.497178 -0.529431 -0.609161 -0.887323 -0.808771 -0.861208 -0.832131;
11, 1.801781 0.796464 -0.179648 -0.719303 -0.188293 0.060292 -0.042129 -0.088656 -0.075877 -0.03863 -0.03424 -0.017747 0.010127 0.03667 0.055966 0.042448 0.004477 -0.008359 0.048401 0.078235 0.067989 0.062663 0.034667 -0.000138 0.015415 -0.011761 0.00807 0.002555 -0.006202 -0.010693 -0.010485 0.087843 -0.038984 -0.060082 -0.161703 -0.45858 -0.388426 2.795282 -0.342865 -0.510016 -0.504157 -0.394883 1.015445 -0.519895 -0.562927 -0.589875 -0.457169 -0.353188 -0.34785 1.404074 -0.359729 -0.648207 -0.608079 -0.484187 -0.600523 -0.367729 -0.547156 -0.623412 -0.491837;
12, 3.673342 0.709004 -0.153691 -0.660214 0.282908 0.085499 -0.004532 -0.048239 -0.0562 -0.065608 -0.073594 -0.082784 -0.039398 0.015099 -0.014617 -0.039415 -0.05078 -0.023867 0.04028 0.148723 0.075131 0.115191 0.091613 0.078121 0.108258 0.041741 0.010004 0.006118 0.013271 -0.029009 -0.010615 0.497028 0.447745 -0.391367 -0.435701 -0.468801 -0.273556 3.189616 -0.304219 -0.541709 -0.532531 -0.567354 -0.634898 -0.272796 -0.419862 -0.548555 -0.360178 -0.378408 0.198526 1.915762 -0.337691 -0.646881 -0.619622 -0.651068 -0.372856 0.448315 -0.044326 -0.332014 -0.464905;
13, 5.962182 1.410642 -0.543207 -1.577188 -0.628092 0.046695 0.052348 -0.085501 -0.041009 -0.018803 -0.013086 0.000762 0.049077 0.070766 0.045415 0.034069 0.015389 -0.022769 0.044154 0.069349 0.074571 0.061454 0.020734 -0.0137 0.019943 0.014968 0.006187 -0.000013 0.000961 0.032362 -0.032411 -0.094053 -0.150616 0.184372 0.279264 -0.179754 -0.215019 3.609971 -0.069489 -0.43465 -0.540042 -0.590339 -0.758095 -0.713178 -0.595376 -0.579993 -0.415225 -0.184134 -0.12876 0.43614 0.080862 -0.284894 -0.643041 -0.729787 -0.85138 -0.563709 -0.572976 -0.598729 -0.480051;
14, -0.716436 -0.769424 0.725105 1.447007 0.113986 -0.11176 -0.104011 -0.038051 0.061986 -0.032362 -0.072767 0.081444 0.170539 0.084652 0.004977 0.03064 -0.063797 -0.095009 -0.052671 -0.035667 -0.033317 -0.049476 -0.018678 -0.033987 0.076317 0.058526 -0.002909 -0.044779 -0.020208 0.027265 -0.033598 -0.414915 -0.523893 6.150288 1.034928 -0.50176 -0.028874 -0.397448 -0.299086 -0.152839 0.134645 3.686356 -0.336757 -0.511754 -0.531326 -0.521149 -0.584068 -0.658435 0.152166 -0.358716 0.079964 0.831052 0.61117 0.782914 -0.246363 -0.571927 -0.473346 -0.584846 -0.746256;
15, -0.432221 -1.362343 0.949716 1.193189 0.17236 -0.092382 -0.11538 -0.000642 0.035349 0.003474 -0.079209 -0.015322 0.057961 -0.049863 -0.008051 -0.055539 -0.060514 -0.010446 -0.085286 0.022261 -0.023486 -0.073011 0.017349 -0.017973 -0.010186 0.031081 0.050224 -0.010987 0.050931 -0.021181 -0.030387 -0.235965 -0.512395 2.18316 2.670637 -0.485398 -0.119494 -0.31895 -0.377519 -0.406797 0.255544 3.620732 -0.480543 -0.423456 -0.641209 -0.601134 -0.602392 -0.610482 -0.27088 0.229493 0.041573 -0.302578 1.247793 1.271441 -0.318926 0.489868 -0.684673 -0.818949 -0.765477;
16, -0.470289 -1.240446 1.26933 1.689353 1.891158 -0.088552 -0.061141 -0.042408 0.017073 -0.002742 -0.03662 0.072601 0.075743 -0.109905 -0.102256 0.013613 0.000063 -0.016827 -0.01471 0.018309 0.031217 -0.001037 -0.016202 -0.011743 0.040865 -0.028039 0.089304 0.061318 -0.050889 -0.022303 -0.004996 -0.367367 -0.287291 0.978017 2.008642 -0.394926 1.078516 -0.42723 -0.469332 -0.452729 0.31884 3.65197 -0.24892 -0.037565 -0.315697 -0.463041 -0.557444 -0.0665 1.544647 -0.378528 -0.421898 -0.466117 0.438588 0.826486 0.304504 1.508853 0.362019 -0.335364 -0.580997;
17, 0.557352 -0.899978 2.775059 1.162029 2.475512 -0.045969 -0.09855 0.016126 0.032219 -0.026973 -0.072904 -0.042973 0.028278 -0.028509 -0.058687 -0.049999 -0.058127 -0.002664 -0.015521 0.060302 0.0216 -0.014817 0.002513 0.120963 0.0014 0.013563 0.098161 0.086947 0.211085 0.141489 -0.014029 -0.122316 -0.240946 0.278259 0.426417 -0.392423 -0.091808 -0.317361 -0.476997 -0.397073 -0.077794 2.997778 -0.535469 -0.453814 0.217052 -0.539337 -0.530632 -0.118812 0.705777 0.553365 -0.401564 -0.187578 0.392377 2.554361 -0.496199 0.103668 2.217373 -0.600311 -0.546986;
18, 0.675476 -0.269791 1.788941 1.12821 3.047078 -0.020305 -0.010523 -0.033731 -0.014904 -0.003857 -0.000723 0.002769 -0.026602 -0.054693 -0.026491 -0.039382 -0.039134 -0.003297 0.050046 0.060199 0.023146 0.032604 0.060324 0.069744 0.115798 0.026076 0.147794 0.046318 0.077275 -0.025184 -0.01155 -0.105222 0.160459 -0.138539 0.009732 -0.377129 0.171788 -0.090702 0.475271 -0.175502 0.01758 2.577424 -0.415085 -0.408133 -0.461645 -0.402214 -0.446296 -0.00282 1.084536 0.931679 2.128011 0.630592 0.998695 2.620104 0.285914 0.570821 0.261135 0.11455 0.023136;
19, -0.023457 -0.76786 1.180371 1.065591 1.945866 -0.000736 -0.005824 -0.010555 0.024896 0.026982 -0.00366 0.031322 0.009637 -0.025815 -0.035483 -0.017446 -0.013454 0.013236 -0.022013 0.014177 0.023684 0.053438 0.029604 0.037401 0.048649 0.019149 0.037006 0.088739 0.030086 -0.000011 -0.000157 -0.120252 0.027305 -0.200889 0.092482 -0.358337 0.165617 -0.184019 0.148431 0.117373 0.080893 2.632262 0.511762 0.070329 -0.172865 -0.089944 -0.301719 -0.121844 0.296202 0.346105 1.426165 1.322251 0.513892 2.499992 1.459564 1.10156 0.611512 0.984262 0.363536;
