122, -0.880405 -0.00995 -1.044113 -0.357633 -0.197967 -0.757329 -1.144928 -0.101374 -0.327091 -0.677096 -0.286741 -0.486598 1.083005;
123, -0.713411 0.157777 -1.389352 0.260874 -0.585208 -1.064156 -0.753391 0.187871 -0.335479 -1.260267 -0.263333 0.016008 0.571237;
124, -1.581066 -0.286549 -2.010814 -0.588624 -0.638258 -1.421819 -1.57284 -0.292403 0.091615 -0.322775 -0.368935 -0.48712 1.515423;
125, -0.128619 -0.016152 -0.857139 -0.031875 0.042826 -0.695149 -1.027303 -0.3387 -0.446733 -0.843201 -0.408145 -0.414093 1.424284;
126, -0.342215 -0.155044 -1.642834 0.09533 -0.592444 -1.342116 -0.725312 -0.041565 -0.349389 -0.862362 -0.358493 0.099272 1.482485;
127, -2.144104 -0.128469 -0.66731 0.150739 -0.545223 -1.011525 -0.69985 -0.737238 -0.486644 -1.034515 -0.117204 -0.119309 1.389787;
128, -0.519851 -0.367028 -1.01449 0.325328 -0.290208 -0.525473 -0.789163 -0.877127 -0.69902 -0.590593 0.330608 0.207593 1.246838;
129, -1.473994 -0.840019 -1.096751 -0.033223 -0.568719 -1.074257 -1.121588 -0.777656 -0.817869 -0.924336 0.039158 0.052091 2.176334;
130, -1.334409 -0.40407 -1.59955 -0.51169 -0.62698 -0.854866 -0.772288 -0.914696 -0.661056 -0.690378 0.524591 0.520513 1.929218;
131, -1.955987 -0.110708 -1.354683 -0.225011 -0.458072 -1.121457 -1.190851 -0.849888 -0.345513 -0.414553 0.870978 1.185853 1.467575;
132, -2.714126 -0.128579 -1.075156 -0.226732 -1.300525 -0.637363 -0.464381 -0.371413 -0.002938 -0.650994 0.937459 1.522498 1.367178;
133, -1.008732 0.4264 -1.396718 -1.130522 -0.39446 -0.089225 -0.6419 -0.872989 -0.411496 0.274073 1.356577 1.116183 1.373576;
134, -1.471732 -0.8805 -0.731382 0.22677 -0.226105 -0.452119 -0.370307 -0.436311 -0.161926 0.535852 1.052526 0.271495 1.406901;
135, -1.43644 -0.113422 -1.472954 -0.874508 -0.356229 -0.793667 -0.566964 0.145234 0.394763 0.402592 0.960178 0.416678 1.154414;
136, 0.267751 -0.372125 -1.64529 -0.503185 -0.664212 -0.983209 -0.814923 -0.312475 -0.053821 -0.187879 0.303148 0.324076 0.99579;
137, -1.21804 -0.310859 -1.778297 -1.436145 -0.488106 -0.201021 -0.81335 -0.469806 -0.05573 0.290221 1.256198 1.177717 1.315825;
138, -1.198661 -0.205001 -0.731497 0.018093 -0.499988 -1.099085 -0.783276 -0.294761 -0.150661 -0.301389 0.896196 1.012066 0.605017;
139, -1.482421 -0.35513 -1.2431 0.043491 -0.284216 -0.498522 -1.393599 -1.055181 -0.682945 -0.604482 0.545981 0.311065 1.657817;
140, -0.302443 -1.061264 -1.126123 -0.125618 -0.191009 -0.674871 -0.50231 -0.282372 -0.258842 -0.30841 0.10069 0.06202 1.035131;
141, -1.20877 -0.127887 -0.978822 -0.311892 -0.797883 -0.030664 -0.562046 0.007479 -0.290468 -0.396407 0.544371 0.636807 0.570384;
142, -1.899965 -0.318307 -1.721075 -0.434679 -0.079569 -0.441843 -0.396912 -0.204277 0.088106 0.643202 1.066675 0.327463 1.270052;
143, -1.166902 -0.793716 -1.559038 -0.572773 -0.406332 0.028386 -0.406983 -0.674826 -0.143009 1.209014 1.677071 0.244174 1.079352;
144, -1.199966 0.253938 -1.866508 -1.106834 -0.653918 0.064564 -0.646802 -0.850861 -0.082178 0.45022 1.18152 0.426224 0.763889;
145, -1.96588 -0.252188 -1.400042 -0.759591 0.052488 -0.097123 -1.146002 0.072888 0.364157 0.623926 0.700312 0.404051 1.696022;
146, -1.347307 -0.655389 -1.84301 -0.33725 -0.052595 0.052409 -0.289096 -0.576193 0.331308 0.788302 0.558355 -0.154933 0.903033;
147, -0.648188 -0.591616 -1.200445 0.048665 -0.19148 -0.035994 0.155188 0.411283 0.5229 -0.345214 -0.857377 -1.034512 2.171867;
148, 0.342395 -0.648083 -1.134044 0.640803 0.275339 -0.578305 -0.160234 0.290147 0.27167 -0.336379 0.064484 -0.187444 0.995728;
149, -0.691778 -0.102659 -0.904517 0.205855 0.092 0.074163 0.139798 0.081933 0.057786 -0.202454 -0.464821 -1.091121 1.689839;
150, -0.121842 -0.584808 -1.310461 -0.02129 -0.143092 -0.643073 -0.299246 0.048716 0.370415 -0.005373 0.031846 -0.340353 0.629102;
151, -0.751551 -0.345516 -1.062436 0.188359 -0.164453 -0.322065 -0.327562 0.447317 0.438956 -0.634162 -0.837189 -0.861015 0.7318;
152, -0.856478 -0.392879 -1.200779 -0.003809 -0.031562 -0.386625 -0.473784 0.054203 0.130403 0.11027 0.467182 -0.271171 0.30127;
153, -0.657552 -0.4191 -1.232896 0.141568 -0.264137 -0.015978 -0.080703 0.353963 0.651844 -0.440963 -1.027338 -1.055731 0.589276;
154, -1.396825 -0.582099 -1.410888 -0.031662 -0.002684 -0.292869 -0.489005 -0.132592 0.719231 0.068167 0.264879 -0.63168 0.981007;
155, -0.89505 -0.066563 -1.196657 -0.040363 0.269272 0.17441 0.631078 0.873477 0.888255 -0.83177 -1.379023 -1.408723 1.049592;
156, -1.518474 -0.386303 -1.182872 0.063783 -0.048728 -0.241013 -0.692495 0.419921 0.847218 -0.205216 0.021436 -0.996305 0.513665;
157, -1.391932 -1.208482 -1.487374 0.059514 -0.273228 -0.417435 -0.077124 0.454135 0.810423 0.743633 0.946885 -0.280873 1.284879;
158, -1.641367 -0.185202 -1.438497 0.175103 0.121011 -0.353803 -0.65361 -0.36391 0.832582 0.351316 -0.229651 -0.786575 1.188222;
159, -1.171314 -0.818904 -1.291843 -0.076583 -0.043631 -0.166796 -0.176549 -0.265521 0.634672 0.426378 -0.353657 -1.150836 2.044296;
160, -2.067627 -0.313773 -1.414 0.412315 0.235068 -0.370006 -0.318899 -0.435912 0.835509 0.595007 -0.528919 -1.050335 1.114651;
161, -1.001965 -0.7565 -1.471675 0.161415 0.277495 -0.068904 0.080206 0.038522 0.649154 0.164545 -0.233296 -0.961978 1.410488;
162, -0.54746 -0.666103 -1.535482 0.21646 0.185756 -0.307686 0.356179 0.673008 0.821977 0.119915 -0.796394 -1.434865 1.905788;
163, -1.053878 -0.365496 -1.060085 -0.262588 0.12213 0.273587 0.345966 0.586094 0.916016 -0.905879 -1.641392 -1.32332 0.99507;
164, -0.727323 -0.1499 -1.461275 0.133353 0.204197 0.243038 0.172642 1.724226 0.862427 -1.661243 -2.193601 -1.041808 0.688486;
165, -0.706847 -0.713504 -0.815943 0.334285 -0.254013 -0.102545 0.791399 0.603401 0.112343 -0.589232 -0.931355 -1.548008 1.765038;
166, -1.078415 -0.452738 -1.485912 0.254961 0.315023 -0.372263 -0.167394 -0.03748 0.963826 0.848317 -0.703518 -1.656437 0.767544;
167, -1.360786 -0.655723 -1.151912 0.138299 0.117764 -0.350844 -0.213405 0.162522 0.411123 0.356782 0.412787 -0.296142 0.600786;
168, -1.135333 -0.602247 -1.417 0.172489 0.20575 -0.194144 -0.045059 0.13944 1.010788 0.63345 -0.68604 -1.562933 0.760766;
169, -0.931052 -0.211464 -1.408008 -0.157495 0.113295 0.50875 0.243944 0.732434 1.013993 -0.749714 -1.642991 -1.105053 0.905808;
170, -0.909451 -0.49878 -1.679336 0.138602 0.344939 -0.128938 -0.295951 0.013378 1.063273 0.776969 -0.913066 -2.061368 0.432029;
171, -1.49468 -1.081048 -1.021587 0.095476 0.111859 -0.069139 -0.097209 0.174157 0.456491 0.269087 0.561492 -0.412244 1.178268;
172, -0.766015 -0.534859 -0.705258 0.101971 -0.080785 0.260215 0.554197 0.629799 0.5181 -0.567922 -1.283468 -1.222232 2.483858;
173, -1.4618 -0.731687 -1.549231 -0.033087 0.318292 -0.185951 0.039577 1.892612 0.993674 -1.97666 -2.387178 -1.086984 0.34619;
174, -1.586964 -0.014313 -0.206485 -0.296027 -0.492109 0.377772 0.546108 0.940389 0.591352 -0.788121 -1.733867 -1.076593 0.842302;
175, -0.536438 -0.8652 -1.481534 -0.098414 0.383678 -0.165009 0.267486 0.866468 0.890921 -0.11515 -0.908224 -1.356341 1.939347;
176, -1.454842 -0.719112 -1.088619 -0.208338 0.018759 0.35154 0.435166 0.61025 1.064707 -0.833096 -1.834769 -1.125176 1.216912;
177, -0.772073 -0.485765 -1.343687 -0.041039 0.437902 0.22534 0.360071 1.798949 0.821952 -1.74599 -2.24319 -1.091306 0.714953;
178, -0.986223 -0.759339 -1.088714 0.200043 0.026227 0.262739 0.630353 0.524063 -0.098846 -1.537756 -0.917777 0.06985 1.965942;
179, -1.299892 -0.953108 -1.441284 0.546335 0.447722 -0.38602 0.108977 0.100601 1.158882 0.454422 -0.693707 -1.123433 0.621857;
180, -2.375978 -1.216833 -1.482906 0.281733 -0.12495 -0.311188 -0.232855 0.532845 1.162696 0.680849 0.169825 -0.710791 0.623595;
